k_clusters,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,0.577,0.606,0.623,0.712,0.745,0.773,0.773,0.74,0.741,0.741,0.737,0.727,0.726,0.717,0.714,0.706,0.673,0.695,0.683,0.684,0.668,0.669,0.674,0.665,0.648,0.625,0.615,0.579,0.557,0.535,0.545,0.535,0.583
2,0.58,0.602,0.617,0.708,0.745,0.77,0.775,0.737,0.739,0.741,0.736,0.724,0.727,0.71,0.714,0.708,0.668,0.697,0.681,0.682,0.673,0.673,0.679,0.664,0.647,0.616,0.619,0.58,0.56,0.533,0.557,0.537,0.56
3,0.58,0.599,0.612,0.703,0.738,0.769,0.773,0.734,0.739,0.732,0.737,0.719,0.723,0.704,0.709,0.701,0.658,0.693,0.674,0.688,0.668,0.673,0.678,0.664,0.648,0.624,0.617,0.58,0.557,0.533,0.555,0.531,0.538
4,0.58,0.594,0.608,0.698,0.739,0.766,0.772,0.733,0.731,0.729,0.728,0.718,0.714,0.705,0.703,0.697,0.657,0.688,0.677,0.681,0.672,0.677,0.672,0.663,0.642,0.622,0.614,0.585,0.567,0.541,0.547,0.53,0.541
5,0.58,0.591,0.607,0.694,0.737,0.762,0.767,0.725,0.728,0.725,0.727,0.711,0.709,0.7,0.7,0.691,0.655,0.687,0.675,0.685,0.666,0.679,0.678,0.662,0.648,0.623,0.616,0.586,0.571,0.533,0.561,0.526,0.523
6,0.58,0.589,0.603,0.691,0.734,0.758,0.767,0.721,0.723,0.724,0.721,0.703,0.704,0.7,0.693,0.688,0.648,0.69,0.667,0.683,0.672,0.673,0.675,0.661,0.649,0.628,0.619,0.579,0.562,0.537,0.557,0.528,0.532
7,0.58,0.588,0.601,0.688,0.728,0.756,0.764,0.718,0.718,0.718,0.718,0.701,0.698,0.689,0.694,0.686,0.644,0.683,0.672,0.68,0.678,0.677,0.684,0.661,0.641,0.628,0.629,0.587,0.566,0.541,0.555,0.525,0.519
8,0.58,0.588,0.601,0.686,0.727,0.755,0.761,0.714,0.712,0.717,0.709,0.699,0.697,0.686,0.687,0.686,0.646,0.68,0.666,0.684,0.674,0.676,0.68,0.663,0.652,0.632,0.63,0.586,0.574,0.543,0.557,0.533,0.517
