layer,spearman
0,0.506
1,0.638
2,0.622
3,0.632
4,0.644
5,0.666
6,0.674
7,0.679
8,0.677
9,0.671
10,0.666
11,0.658
12,0.661
13,0.663
14,0.665
15,0.668
16,0.671
17,0.669
18,0.662
19,0.657
20,0.653
21,0.648
22,0.635
23,0.621
24,0.614
25,0.606
26,0.598
27,0.591
28,0.583
29,0.581
30,0.577
31,0.573
32,0.578
33,0.549
34,0.547
35,0.506
36,0.564
