layer,spearman
0,0.362
1,0.41
2,0.39
3,0.435
4,0.443
5,0.425
6,0.446
7,0.407
8,0.396
9,0.359
10,0.343
11,0.326
12,0.331
13,0.344
14,0.355
15,0.379
16,0.378
17,0.409
18,0.435
19,0.444
20,0.447
21,0.454
22,0.45
23,0.442
24,0.435
25,0.426
26,0.417
27,0.41
28,0.39
29,0.38
30,0.367
31,0.364
32,0.326
