k_clusters,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,0.484,0.371,0.391,0.416,0.438,0.457,0.469,0.494,0.502,0.499,0.49,0.482,0.482,0.483,0.485,0.49,0.489,0.492,0.49,0.491,0.493,0.492,0.49,0.487,0.482,0.476,0.472,0.465,0.457,0.456,0.452,0.447,0.446,0.431,0.41,0.384,0.372
2,0.291,0.354,0.382,0.412,0.426,0.457,0.466,0.494,0.503,0.518,0.536,0.539,0.545,0.548,0.552,0.558,0.557,0.563,0.557,0.558,0.552,0.55,0.54,0.53,0.521,0.514,0.501,0.492,0.483,0.48,0.471,0.465,0.456,0.426,0.408,0.395,0.343
3,0.241,0.345,0.365,0.404,0.429,0.453,0.465,0.492,0.505,0.523,0.535,0.54,0.549,0.553,0.561,0.569,0.568,0.572,0.556,0.558,0.56,0.55,0.548,0.535,0.524,0.514,0.504,0.492,0.487,0.486,0.478,0.471,0.462,0.437,0.405,0.393,0.346
4,0.217,0.343,0.369,0.402,0.426,0.446,0.464,0.495,0.508,0.521,0.538,0.543,0.551,0.555,0.569,0.567,0.569,0.57,0.564,0.563,0.556,0.551,0.548,0.541,0.525,0.509,0.502,0.493,0.483,0.487,0.487,0.462,0.46,0.445,0.409,0.385,0.352
5,0.233,0.333,0.364,0.397,0.418,0.448,0.464,0.494,0.508,0.527,0.54,0.544,0.549,0.56,0.566,0.57,0.569,0.573,0.565,0.564,0.555,0.552,0.542,0.54,0.531,0.519,0.499,0.5,0.488,0.484,0.478,0.476,0.462,0.433,0.409,0.378,0.343
6,0.189,0.335,0.359,0.401,0.42,0.448,0.462,0.493,0.504,0.522,0.535,0.547,0.552,0.56,0.564,0.573,0.572,0.574,0.566,0.562,0.561,0.549,0.544,0.535,0.522,0.518,0.495,0.503,0.496,0.491,0.481,0.475,0.464,0.438,0.413,0.386,0.341
7,0.225,0.336,0.36,0.395,0.421,0.445,0.463,0.494,0.509,0.525,0.54,0.542,0.556,0.563,0.571,0.571,0.573,0.568,0.567,0.566,0.553,0.551,0.54,0.527,0.525,0.515,0.507,0.493,0.494,0.482,0.483,0.481,0.462,0.444,0.422,0.4,0.356
8,0.218,0.333,0.364,0.393,0.407,0.445,0.456,0.495,0.51,0.525,0.535,0.54,0.551,0.561,0.57,0.572,0.566,0.567,0.563,0.567,0.552,0.55,0.538,0.535,0.524,0.517,0.5,0.495,0.489,0.476,0.477,0.47,0.462,0.45,0.422,0.394,0.351
