layer,spearman
0,0.386
1,0.356
2,0.377
3,0.413
4,0.436
5,0.454
6,0.462
7,0.485
8,0.495
9,0.497
10,0.495
11,0.489
12,0.493
13,0.492
14,0.493
15,0.499
16,0.5
17,0.501
18,0.5
19,0.498
20,0.495
21,0.487
22,0.482
23,0.468
24,0.462
25,0.453
26,0.441
27,0.435
28,0.426
29,0.424
30,0.418
31,0.414
32,0.415
33,0.408
34,0.396
35,0.385
36,0.393
